Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million)
Shaquille O'Neal,USA,6,>10,Basketball,1993,15.2
Lennox Lewis,USA,7,>10,Boxing,1993,15
Cecil Fielder,USA,8,>10,Baseball,1993,12.7
Jim Courier,USA,9,9,Tennis,1993,12.6
Joe Montana,USA,10,7,American Football,1993,11.5
Michael Jordan,USA,1,1,Basketball,1994,30
Shaq O'Neal,USA,2,6,Basketball,1994,16.7
Jack Nicklaus,USA,3,>10,Golf,1994,14.8
Arnold Palmer,USA,4,>10,Golf,1994,13.6
Gerhard Berger,Austria,5,>10,Auto Racing,1994,13.5
Wayne Gretzky,Canada,5,>10,Ice Hockey,1994,13.5
Michael Moorer,USA,7,>10,Boxing,1994,12.1
Evander Holyfield,USA,8,>10,Boxing,1994,12
Andre Agassi,USA,9,>10,Tennis,1994,11.4
Nigel Mansell,UK,10,>10,Auto Racing,1994,11.3
Michael Jordan,USA,1,1,Basketball,1995,43.9
Mike Tyson,USA,2,Not Listed,Boxing,1995,40
Deion Sanders,USA,3,>10,American Football / Baseball,1995,22.5
Riddick Bowe,USA,4,Not Listed,Boxing,1995,22.2
Shaquille O'Neal,USA,5,2,Basketball,1995,21.9
George Foreman,USA,6,>10,Boxing,1995,18
Andre Agassi,USA,7,9,Tennis,1995,16
Sugar Ray Leonard,USA,8,3,Golf,1995,15.1
Michael Schumacher,Germany,9,>10,Auto Racing,1995,15
Wayne Gretzky,Canada,10,5,Ice Hockey,1995,14.5
Mike Tyson,USA,1,2,Boxing,1996,75
Michael Jordan,USA,2,1,Basketball,1996,52.6
Michael Schumacher,Germany,3,9,F1 racing,1996,33
Shaquille O'Neal,USA,4,5,Basketball,1996,24.4
Emmit Smith,USA,5,Not Listed,American Football,1996,16.5
Evander Holyfield,USA,6,>10,Boxing,1996,15.5
Andre Agassi,USA,7,7,Tennis,1996,15.2
Arnold Palmer,USA,8,>10,Golf,1996,15.1
Dennis Rodman,USA,9,Not Listed,Basketball,1996,12.9
Patrick Ewing,USA,9,>10,Basketball,1996,12.9
Michael Jordan,USA,1,2,Basketball,1997,78.3
Evander Holyfield,USA,2,6,Boxing,1997,54.3
Oscar De La Hoya,USA,3,>10,Boxing,1997,38
Michael Schumacher,Germany,4,3,F1 racing,1997,35
Mike Tyson,USA,5,1,Boxing,1997,27
Tiger Woods,USA,6,>10,Golf,1997,26.1
Shaquille O'Neal,USA,7,4,Basketball,1997,25.4
Dale Earnhardt,USA,8,>10,Auto Racing,1997,19.1
Joe Sakic,Canada,9,Not Listed,Ice Hockey,1997,17.9
Grant Hill,USA,10,>10,Basketball,1997,17
Michael Jordan,USA,1,Not Listed,Basketball,1998,69
Michael Schumacher,Germany,2,Not Listed,F1 racing,1998,38
Sergei Federov,Russia,3,Not Listed,Ice Hockey,1998,29.8
Tiger Woods,USA,4,Not Listed,Golf,1998,26.8
Dale Earnhardt,USA,5,Not Listed,Auto Racing,1998,24.1
Grant Hill,USA,6,Not Listed,Basketball,1998,21.6
Oscar De La Hoya,USA,7,Not Listed,Boxing,1998,18.5
Patrick Ewing,USA,8,Not Listed,Basketball,1998,18.3
Arnold Palmer,USA,9,Not Listed,Golf,1998,18.1
Gary Sheffield,USA,10,Not Listed,Baseball,1998,17.2
Michael Schumacher,Germany,1,2,Auto Racing,1999,49
Tiger Woods,USA,2,4,Golf,1999,47
Oscar De La Hoya,USA,3,7,Boxing,1999,43.5
Michael Jordan,USA,4,1,Basketball,1999,40
Evander Holyfield,USA,5,>10,Boxing,1999,35.5
Mike Tyson,USA,6,>10,Boxing,1999,33
Shaq O'Neal,USA,7,>10,Basketball,1999,31
Lennox Lewis,USA,8,>10,Boxing,1999,29
Dale Earnhardt,USA,9,5,Auto Racing,1999,26.5
Grant Hill,USA,10,6,Basketball,1999,23
Michael Schumacher,Germany,1,1,Auto Racing,2000,59
Tiger Woods,USA,2,2,Golf,2000,53
Mike Tyson,USA,3,6,Boxing,2000,48
Michael Jordan,USA,4,4,Basketball,2000,37
Grant Hill,USA,5,10,Basketball,2000,26
Dale Earnhardt,USA,6,9,Auto Racing,2000,24.5
Shaq O'Neal,USA,7,7,Basketball,2000,24
Lennox Lewis,USA,8,8,Boxing,2000,23
Oscar De La Hoya,USA,9,3,Boxing,2000,23
Kevin Garnett,USA,10,>10,Basketball,2000,21
Tiger Woods,USA,1,2,Golf,2002,69
Michael Schumacher,Germany,2,1,F1 racing,2002,67
Michael Jordan,USA,3,4,Basketball,2002,36
Lennox Lewis,USA,4,8,Boxing,2002,28
Grant Hill,USA,5,5,Basketball,2002,24
Shaquille O'Neal,USA,5,7,Basketball,2002,24
Mike Tyson,USA,7,3,Boxing,2002,23
Kevin Garnett,USA,7,10,Basketball,2002,23
